image_id,image_name,intersection,union,IoU,precision,recall,split
283,frame_0283.png,537652,2074662,0.2591516112022103,0.5558229643505481,0.32683892946287124,discovery
284,frame_0284.png,531372,2081584,0.2552729075550158,0.5481096235751133,0.32331868769748334,discovery
286,frame_0286.png,508237,2100564,0.24195263748212384,0.5302630672890527,0.30795915263470114,discovery
287,frame_0287.png,496746,2110621,0.23535537645081708,0.5165602167958554,0.30184022239438546,discovery
288,frame_0288.png,480448,2114944,0.2271681897960419,0.5009086141627039,0.2936294758895247,discovery
290,frame_0290.png,449780,2088002,0.21541167106161777,0.48127976031244984,0.2805457974890721,discovery
291,frame_0291.png,439982,2064955,0.21307098701908758,0.47681913943629,0.27808364719095585,discovery
292,frame_0292.png,429873,2040183,0.21070315751087035,0.47223223113259366,0.2756027224771054,discovery
294,frame_0294.png,411201,1968295,0.20891228194960612,0.4755319075120444,0.27145958021571476,discovery
295,frame_0295.png,398248,1912758,0.208206160946654,0.4850324270011875,0.2672929149067977,discovery
296,frame_0296.png,387655,1867353,0.2075959928304932,0.49515959478291305,0.26333129319029236,discovery
298,frame_0298.png,392513,1858446,0.21120495295531858,0.5054477088202532,0.2662198842371849,discovery
299,frame_0299.png,400637,1849840,0.21657927172079747,0.522389207908915,0.27005382378020215,discovery
300,frame_0300.png,408754,1832850,0.22301552227405408,0.5461880124429431,0.2737385047695329,discovery
302,frame_0302.png,960671,1557058,0.6169783013863325,0.7997547466839604,0.729703719345366,discovery
303,frame_0303.png,487289,1868891,0.26073698252065,0.6513531287844966,0.3030287389416577,discovery
304,frame_0304.png,1143828,2494514,0.45853741450238406,0.4852119600674987,0.8929431272073219,discovery
306,frame_0306.png,398318,1730839,0.23013001209240144,0.4484467196642262,0.32098086934098347,discovery
307,frame_0307.png,391558,1676154,0.23360502674575248,0.47539656041134226,0.31474028328056286,discovery
308,frame_0308.png,418824,1825937,0.22937483604308365,0.7283730976517052,0.2508306642679015,discovery
310,frame_0310.png,430799,1892313,0.2276573695789227,0.6496389880808763,0.25952122199357097,discovery
311,frame_0311.png,374138,1821617,0.20538785046472446,0.5941905155163104,0.23889866195856574,discovery
312,frame_0312.png,593697,1930793,0.3074886847010529,0.6675395584119742,0.36309322497766205,discovery
314,frame_0314.png,504384,2134439,0.23630752623991597,0.46040349567239847,0.326822380915663,discovery
315,frame_0315.png,371419,1802326,0.20607759084649502,0.5898723120414192,0.24054310481612087,discovery
316,frame_0316.png,407936,1856106,0.21978055132627122,0.5555493515531266,0.26666858419257017,discovery
318,frame_0318.png,581899,1834591,0.31718186778415464,0.6654624508821767,0.3773512349049519,discovery
319,frame_0319.png,428663,2041435,0.2099812141949168,0.41437373608485,0.2985921006621557,discovery
320,frame_0320.png,586051,1809227,0.3239234214391008,0.5393175190240123,0.4478372337377018,discovery
322,frame_0322.png,534846,1973716,0.2709842753466051,0.4515739561838697,0.4039140344279157,discovery
323,frame_0323.png,547516,1844231,0.2968803799524029,0.6406610726985728,0.3561922952816146,discovery
324,frame_0324.png,445566,1935900,0.23015961568262824,0.4350215135334624,0.32829143540468914,discovery
326,frame_0326.png,524571,1879635,0.27908131099920996,0.4711865107096213,0.4063581603026707,discovery
327,frame_0327.png,382822,1825980,0.20965289871740106,0.6155248704063389,0.2412452784055032,discovery
328,frame_0328.png,429051,1706419,0.2514335576432283,0.5039406055025182,0.3341315714465944,discovery
330,frame_0330.png,430991,1869103,0.2305870784007088,0.6688750869090186,0.26030081981371495,discovery
331,frame_0331.png,419995,1871950,0.22436229600149576,0.586080151601204,0.2666079698957931,discovery
332,frame_0332.png,488766,1842469,0.26527773330243276,0.48027568641554597,0.37209348357170646,discovery
334,frame_0334.png,515066,1835510,0.28061192802000534,0.6073877184251923,0.3427891072253347,discovery
335,frame_0335.png,854170,1724331,0.49536312923678805,0.8608449920684992,0.5384821482044185,discovery
336,frame_0336.png,727876,1988211,0.36609595259255684,0.8135583369286518,0.3996233676749542,discovery
338,frame_0338.png,487766,2130405,0.22895458844679767,0.4908905181480121,0.3002494250666036,discovery
339,frame_0339.png,453289,2000367,0.22660291836448013,0.5560504616079117,0.27665518028492575,discovery
340,frame_0340.png,518927,1702432,0.3048151115580534,0.6657023955829114,0.3599058425998428,discovery
342,frame_0342.png,343974,1773837,0.1939152244541071,0.3995753029857734,0.27365505082890335,discovery
343,frame_0343.png,440292,1773172,0.2483075527923969,0.815163841096631,0.26312213260090467,discovery
344,frame_0344.png,394400,1843703,0.21391731748551693,0.5012314738797908,0.2717674045868329,discovery
346,frame_0346.png,445628,1930117,0.23088134035397853,0.7539331146342825,0.24969714356795694,discovery
347,frame_0347.png,680390,1894024,0.3592298724831364,0.4669567001790576,0.6089367525222829,discovery
348,frame_0348.png,503481,2066160,0.2436795795098153,0.4008140773445125,0.38331398292342184,discovery
350,frame_0350.png,402099,1817774,0.22120406607201995,0.422074077806259,0.3173132238898547,discovery
351,frame_0351.png,585464,1829003,0.32010007638041055,0.6419512130937591,0.38967027408383587,discovery
352,frame_0352.png,591602,1665484,0.35521325932881975,0.7388781479649696,0.40620567010663206,discovery
354,frame_0354.png,619812,1847257,0.335531006243311,0.6154912514150662,0.42451451971817383,discovery
355,frame_0355.png,409718,1974801,0.20747305677888556,0.4966916961452017,0.26270289332371566,discovery
356,frame_0356.png,741442,1841384,0.40265474230252896,0.7192223448773589,0.4777541799511834,discovery
358,frame_0358.png,427585,1799697,0.2375872160702607,0.8295051118396803,0.24978502312169795,discovery
359,frame_0359.png,505044,2057246,0.24549519114388849,0.4793321444400892,0.33476574073889953,discovery
360,frame_0360.png,381961,1787203,0.21371998592213642,0.820616771510089,0.2241939346413822,discovery
362,frame_0362.png,533265,1856865,0.28718565970062443,0.5158114867237292,0.3931783176643985,discovery
363,frame_0363.png,786829,2276607,0.3456147679419417,0.4349962240534979,0.6271462708170933,discovery
364,frame_0364.png,436862,1972116,0.2215194238067132,0.3998872273019773,0.3318321477537286,discovery
366,frame_0366.png,774856,2085396,0.3715630029020867,0.4996389035046994,0.5917551282247102,discovery
367,frame_0367.png,422070,1903955,0.2216806594693677,0.6269766170565805,0.2553601614673393,discovery
368,frame_0368.png,619284,1914200,0.3235210531814857,0.6693768138656347,0.38505047817006455,discovery
370,frame_0370.png,918529,1886025,0.48701846476054134,0.5903495517405604,0.7356194344758767,discovery
371,frame_0371.png,366509,1820292,0.20134626752191406,0.5371653607933145,0.24360866972992337,discovery
372,frame_0372.png,422680,1880632,0.22475423155620025,0.598344318361985,0.26468849568162234,discovery
